,process_num,iso_level,anomaly,txn_proceeded,txn_succeeded,txn_correct,txn_retries,retry_time,avg_latency,50_percentile_latency,95_percentile_latency,99_percentile_latency
119,3,S,LU,2,1,2,1,1,0.055831059,0.055831059,0.10236394439999999,0.10650020087999999
387,3,RR,PR,2,2,2,0,0,0.012850510499999995,0.012850510499999995,0.021261074849999992,0.02200868056999999
653,3,RC,WS,2,2,2,0,0,0.0038512005000000127,0.0038512005000000127,0.004454280150000012,0.004507887230000012
279,3,S,NR,4,4,4,0,0,0.0036582790000000073,0.0024993065000000064,0.006789026700000011,0.007349866140000011
13,3,RC,LU,2,2,2,0,0,0.003568822499999999,0.003568822499999999,0.003679298850000003,0.003689118970000003
68,3,RR,LU,2,2,2,0,0,0.003472170999999996,0.003472170999999996,0.0037213575999999805,0.003743507519999979
67,3,RR,LU,2,2,2,0,0,0.0033075424999999964,0.0033075424999999964,0.0037449519500000043,0.003783832790000005
66,3,RR,LU,2,1,2,1,1,0.05620969000000001,0.05620969000000001,0.1033076512,0.10749413664000002
760,3,S,WS,2,2,2,0,0,0.003235485499999996,0.003235485499999996,0.0037437366499999984,0.0037889145299999987
759,3,S,WS,2,2,2,0,0,0.003006204999999998,0.003006204999999998,0.0032451162999999825,0.003266352859999981
14,3,RC,LU,2,2,0,0,0,0.0038210099999999997,0.0038210099999999997,0.004433867699999998,0.004488343939999998
706,3,RR,WS,2,0,2,2,2,0.10739224750000002,0.10739224750000002,0.10760664055000001,0.10762569771000001
705,3,RR,WS,2,2,2,0,0,0.0034809759999999967,0.0034809759999999967,0.003913560999999996,0.0039520129999999955
761,3,S,WS,2,2,2,0,0,0.002871698000000006,0.002871698000000006,0.003115733900000003,0.003137425980000003
707,3,RR,WS,2,2,2,0,0,0.003305708500000004,0.003305708500000004,0.0034478198500000057,0.003460451970000006
12,3,RC,LU,2,2,1,0,0,0.0033006475000000174,0.0033006475000000174,0.0033343844500000205,0.0033373832900000207
495,4,RC,RS,2,2,2,0,0,0.002360079000000001,0.002360079000000001,0.0026460908999999993,0.002671514179999999
549,4,RR,RS,2,2,2,0,0,0.0031267110000000042,0.0031267110000000042,0.003858144600000002,0.003923160920000002
548,4,RR,RS,2,2,2,0,0,0.0025093389999999993,0.0025093389999999993,0.002992801899999997,0.003035776379999997
